CERT_ID,CERT_NAME,URL,ACRONYM,KEYWORD,TRAINING,EITHER,EXAM,RENEWAL,CEU,REEXAM,CPD,CERT_ANY,EXAM_DETAILS,TYPE,TYPEORDER,ORG_ID,ORG_NAME,ORG_ADDRES,ORG_PHONE1,EXT,ORG_PHONE2,ORG_FAX,ORG_EMAIL,ORG_WEBPAG,ORG ACRONYM,CERT_DESCRIPTION
0788,ACE Health Coach Certification,https://www.acefitness.org/fitness-certifications/health-coach-certification/default.aspx,,"Health coach, trainer, personal trainer, fitness, ACE,",0,,1,2 ,1,,,0,,Specialty,C,0139,American Council on Exercise,"5820 Oberlin Drive, Suite 102, San Diego, CA 92121-3787",8008253636,,8883483299,,programs@acefitness.org,https://www.acefitness.org,ACE,"Your clients want to lose weight. They come to you for help. The Lifestyle & Weight Management Consultant certification assures clients that you have the knowledge to develop sound, balanced weight management programs that bring together the three critical components of nutrition, exercise and lifestyle change."
3690,ACI Shotcrete Nozzleman (Dry-Mix Process),https://www.concrete.org/certification/certificationprograms.aspx,,Shotcrete Nozzleman Dry mix ,0,0,1,5 ,,,,,,Core,A,0141,American Concrete Institute International,"38800 Country Club Drive, Farmington Hills, MI 48331",248-848-3700,,248-848-3790,248-848-3701,John.Nehasil@concrete.org,https://www.concrete.org/,ACI,A Shotcrete Nozzleman (Dry-Mix Process) is an individual who has demonstrated the knowledge and ability to properly place dry-mix shotcrete.
3691,ACI Shotcrete Nozzleman (Wet-Mix Process),https://www.concrete.org/certification/certificationprograms.aspx,,Shotcrete Nozzleman Wet-Mix Process ,1,0,1,5 ,,,,,,Core,A,0141,American Concrete Institute International,"38800 Country Club Drive, Farmington Hills, MI 48331",248-848-3700,,248-848-3790,248-848-3701,John.Nehasil@concrete.org,https://www.concrete.org/,ACI,
14812,ACP Simulation for Static Stress Analysis,https://www.autodesk.com/certification/all-certifications/multi-axis-milling-expert,,  ,0,,1,2 ,0,1,0,0,,Product/Equipment,D,0914,"Autodesk, Inc.","111 McInnis Parkway San Rafael, CA 94903",415-507-5000,,,415-507-5100,,https://www.autodesk.com/,,"The Autodesk Certified Expert in CAM for Multi-Axis Milling certification is designed for individuals who have advanced skills in computer-aided manufacturing (CAM) and can solve complex challenges in multi-axis milling using Autodesk Fusion 360. The certification covers essential skills such as planning and preparing optimized multi-axis CAM operations, machine and parameter setup, programming and optimizing toolpaths, simulating and verifying toolpath and machine operation, and part inspection."
14051,ACRP Certified Professional,https://acrpnet.org/certification/acrp-cp-certification,ACRP-CP,Clinical Studies Clinical Research Research,1,,1,2 ,1,1,1,1,,Core,A,0995,Association of Clinical Research Professionals,"500 Montgomery Street, Suite 800 Alexandria, VA 22314",703-254-8100,,,703-254-8101,office@acrpnet.org,https://acrpnet.org/,ACRP,"ACRP-CP&reg; (ACRP Certified Professional) is a credential formally recognizing clinical research professionals of all types, regardless of their roles or functional activities on the clinical study team."
14051,ACRP Certified Professional,https://acrpnet.org/certification/acrp-cp-certification,ACRP-CP,Clinical Studies Clinical Research Research,1,,1,2 ,1,1,1,1,,Advanced,B,0995,Association of Clinical Research Professionals,"500 Montgomery Street, Suite 800 Alexandria, VA 22314",703-254-8100,,,703-254-8101,office@acrpnet.org,https://acrpnet.org/,ACRP,"ACRP-CP&reg; (ACRP Certified Professional) is a credential formally recognizing clinical research professionals of all types, regardless of their roles or functional activities on the clinical study team."
13891,ACRP Project Manager (ACRP-PM),https://acrpnet.org/certification/acrp-pm,ACRP-PM,clinical research project manager ,0,,1,2 ,1,0,,,,Advanced,B,0995,Association of Clinical Research Professionals,"500 Montgomery Street, Suite 800 Alexandria, VA 22314",703-254-8100,,,703-254-8101,office@acrpnet.org,https://acrpnet.org/,ACRP,"The ACRP-PM Subspecialty Designation does not replace any of the other ACRP certifications. The CCRA, CCRC, ACRP-CP, and CPI programs are based on the body of knowledge needed to demonstrate the competence of a clinical research professional. Those seeking the ACRP-PM must first pass one of these certification exams. Those who pass the ACRP-PM have demonstrated the specific knowledge related to project management in clinical research.

By earning the ACRP-PM subspecialty, professionals of all types show they have not only earned a flagship certification in clinical research through ACRP, but have also demonstrated knowledge in clinical research project management."
12934,ACTFL Limited Oral Proficiency Interview Certification,https://www.actfl.org/assessments/tester-rater-certifications/opi-tester-certification,OPI,  ,1,,1,4 ,,,1,,&lt;a href=&quot;https://www.languagetesting.com/&quot; target=&quot;_blank&quot;&gt;Language Testing International&lt;/a&gt;&amp;nbsp;(LTI) is the exclusive provider of ACTFL assessments.,Advanced,B,1719,American Council on the Teaching of Foreign Languages,"1001 N. Fairfax Street, Suite 200 Alexandria, VA 22314",703-894-2900,,,,,,ACTFL,"Certification as an ACTFL OPI Tester acknowledges a tester's ability to elicit and rate oral proficiency interviews with a high degree of reliability.

Limited OPI Certification requires a candidate be able to demonstrate a minimum speaking proficiency of Advanced Mid. This certification will allow you to rate interviews officially at the Novice and Intermediate levels. This certification tends to be most useful to educators who teach in programs with proficiency goals in the novice and intermediate ranges."
13209,ACTFL Listening Proficiency Test,https://www.actfl.org/assessments/postsecondary-assessments/listening-proficiency-test-lpt,LPT,  ,1,,1,4 ,,,1,,&lt;a href=&quot;https://www.languagetesting.com/&quot; target=&quot;_blank&quot;&gt;Language Testing International&lt;/a&gt; (LTI) is the exclusive provider of ACTFL assessments.,Advanced,B,1719,American Council on the Teaching of Foreign Languages,"1001 N. Fairfax Street, Suite 200 Alexandria, VA 22314",703-894-2900,,,,,,ACTFL,"The ACTFL Listening Proficiency Test (LPT) is a proctored, online, proficiency-based test for the global assessment of listening ability in a language. It is an assessment of the Interpretive Communication Mode as described in the World-Readiness Standards for Learning Languages. LPTs measure how well a person understands spoken language as described by the ACTFL or ILR rating scales.

The LPT assesses general language proficiency, not what is learned in a specific program, class, school, or university. It is not tied to a particular teaching method or curriculum. Rather than assessing what you ""know"" about the language, the LPT is an assessment of how well you can understand the spoken language."
12933,ACTFL Oral Proficiency Interview,https://www.actfl.org/assessments/postsecondary-assessments/opi,OPI,  ,1,,1,4 ,,,1,,&lt;a href=&quot;https://www.languagetesting.com/&quot; target=&quot;_blank&quot;&gt;Language Testing International&lt;/a&gt;&amp;nbsp;(LTI) is the exclusive provider of ACTFL assessments.,Advanced,B,1719,American Council on the Teaching of Foreign Languages,"1001 N. Fairfax Street, Suite 200 Alexandria, VA 22314",703-894-2900,,,,,,ACTFL,"Certification as an ACTFL OPI Tester acknowledges a tester's ability to elicit and rate oral proficiency interviews with a high degree of reliability.
Full OPI Certification requires a candidate be able to demonstrate a speaking proficiency of Superior. This certification will allow you to rate interviews officially from Novice to Superior."
12935,ACTFL Oral Proficiency Interview - Computer,https://www.actfl.org/assessments/postsecondary-assessments/oral-proficiency-interview-computer-opic,OPIc,  ,1,,1,4 ,,,1,,&lt;a href=&quot;https://www.languagetesting.com/&quot; target=&quot;_blank&quot;&gt;Language Testing International&lt;/a&gt;&amp;nbsp;(LTI) is the exclusive provider of ACTFL assessments.,Advanced,B,1719,American Council on the Teaching of Foreign Languages,"1001 N. Fairfax Street, Suite 200 Alexandria, VA 22314",703-894-2900,,,,,,ACTFL,"The Oral Proficiency Interview - Computer (OPIc) is an internet delivered test which provides valid and reliable oral proficiency testing on a large scale. It was developed in response to the increased worldwide demand for the testing of oral language proficiency. The computer delivered assessment emulates the 'live' OPI, but delivery of questions is through a carefully designed computer program, and via a virtual avatar. Thus, the test can be taken on demand and at a time convenient to the candidate and proctor."
13210,ACTFL Reading Proficiency Test,https://www.actfl.org/assessments/postsecondary-assessments/actfl-reading-proficiency-test-rpt,RPT,  ,1,,1,4 ,,,1,,&lt;a href=&quot;https://www.languagetesting.com/&quot; target=&quot;_blank&quot;&gt;Language Testing International&lt;/a&gt;&amp;nbsp;(LTI) is the exclusive provider of ACTFL assessments.,Advanced,B,1719,American Council on the Teaching of Foreign Languages,"1001 N. Fairfax Street, Suite 200 Alexandria, VA 22314",703-894-2900,,,,,,ACTFL,"The Reading Proficiency Test (RPT) is a proctored, online, proficiency-based test for the global assessment of reading ability in a language. It is an assessment of the interpretive communication mode as described in the World-Readiness Standards for Learning Languages. RPTs measure how well a person spontaneously understands written language as described in the ACTFL or ILR rating scales without access to dictionaries or reference grammars.

The RPTs assess general language proficiency, not what is learned in a specific program, class, school, or university. It is not tied to a particular teaching method or curriculum. Rather than assessing what you ""know"" about the language, the RPT is an assessment of how well you can understand the written language."
12936,ACTFL Writing Proficiency Test,https://www.actfl.org/assessments/postsecondary-assessments/actfl-writing-proficiency-test-wpt,WPT,  ,1,,1,4 ,,1,,,&lt;a href=&quot;https://www.languagetesting.com/&quot; target=&quot;_blank&quot;&gt;Language Testing International&lt;/a&gt;&amp;nbsp;(LTI) is the exclusive provider of ACTFL assessments.,Advanced,B,1719,American Council on the Teaching of Foreign Languages,"1001 N. Fairfax Street, Suite 200 Alexandria, VA 22314",703-894-2900,,,,,,ACTFL,"The ACTFL Writing Proficiency Test (WPT) is a web-based, proctored, standardized test of the global assessment of functional writing ability in a language. The WPT measures how well a person spontaneously writes in a language (without access to revisions and/or editing tools). Rating occurs by comparing the writer's performance of specific writing tasks to the criteria stated by a proficiency rating scale such as the ACTFL Proficiency Guidelines for Writing."
14232,ADEX Dental,https://adextesting.org/adex-dental/,,Dental ADEX ,1,,1,,,,,,,Advanced,B,1878,CDCA-WREB-CITA (ADEX),"1304 Concourse Drive, Suite 100 Linthicum, MD 21090",301-563-3300,,,301-563-3307,,https://adextesting.org/,CDCA-WREB-CITA,The ADEX Dental Examination is given in two formats: the Curriculum Integrated Format (CIF) and in the Traditional Format. The CIF Format can only be taken by students about to enter their senior year of dental school or graduate students at a school hosting the CIF Format examination. The Traditional Format is for those students who elect not to take the CIF Format and for those who have already graduated from dental school. Only students or graduates of schools accredited by the Commission on Dental Accreditation (CODA) or the Commission on Dental Accreditation of Canada may take the ADEX Dental Examination.
14233,ADEX Dental Hygienist,https://adextesting.org/adex-dental-hygiene/,,Dental Hygiene Dental Hygienist ,1,,1,,,,,,,Advanced,B,1878,CDCA-WREB-CITA (ADEX),"1304 Concourse Drive, Suite 100 Linthicum, MD 21090",301-563-3300,,,301-563-3307,,https://adextesting.org/,CDCA-WREB-CITA,"The Simulated Patient Treatment Clinical Examination (SPTCE) and Patient Treatment Clinical Examination (PTCE) - evaluate candidates on their clinical and judgment skills. Clinical skills include detection and removal of calculus, accurate periodontal pocket depth measurements, and tissue management.

The Computer Simulated Clinical Examination (CSCE) OSCE - is designed to assess various levels of diagnosis and treatment planning knowledge, skills, and abilities. Clinically-based questions are utilized through computer-enhanced photographs, radiographs, optical images of study and working models, laboratory data, and other clinical digitized reproductions."
1086,AEA Aquatic Fitness Professional Certification,https://aeawave.org/AEA-Cert/AEA-Certification,AEA,certified aquatic fitness instructor water exercise leader water aerobics instructor,1,,1,1 ,1,,,0,,Core,A,0202,Aquatic Exercise Association,"3439 Technology Drive, Suite 6, North Venice, FL  34275-3627",941-486-8600,,888-232-9289,941-486-8820,info@aeawave.com,https://aeawave.org/,AEA,"Become a recognized leader in your community with the AEA Certification!  Obtaining AEA Certification is considered the highest level of achievement for those leading aquatic group fitness and personal training. The AEA Certification tests a standard level of theoretical and practical competence in aquatic fitness program design and leadership for general populations approved for independent exercise. Group fitness instructors and personal trainers who hold the AEA Certification are prepared to assist participants meet health and fitness objectives through safe, effective, and enjoyable water exercise. The AEA Certification reinforces guidelines for developing and delivering aquatic fitness programs in the community."
5124,AED Certification,https://www.redcross.org/take-a-class/aed,,AED Adult child ,0,,1,  ,,,,,,Skill,E,0398,American Red Cross,"Public Inquiry Office, 432 18th Street, NW, Washington, DC 20006",202-639-3520,,,,info@usa.redcross.org,https://www.redcross.org/,,This course teaches individuals currently certified in CPR - Adult and CPR - Child how to safely use an AED to provide care for victims of sudden cardiac arrest.
11759,AI-GRS Membership Designation,https://www.appraisalinstitute.org/about/our-designations#AIGRS,AI-GRS,  ,1,,1,5 ,1,0,0,0,,Advanced,B,1465,Appraisal Institute,"200 W. Madison, Suite 1500 Chicago, IL 60606",888-756-4624,,,312-335-4400,aiservice@appraisalinstitute.org,https://www.appraisalinstitute.org/,AI,"The AI-GRS membership designation is held by professionals who provide reviews of appraisals of a wide range of property types, including commercial, industrial, agricultural, residential, and vacant land."
15071,AIBIZ,https://certnexus.com/aibiz/,,  ,0,,1,3 ,0,1,0,0,,Core,A,1686,CertNexus,"3535 Winton Place Rochester, NY 14623",1.800.326.8724,,,,info@certnexus.com,https://certnexus.com/,,"AIBIZ&copy;offers business professionals with an understanding of AI concepts, fundamentals of AI implementations, and the impact of AI including business use cases."
0535,ALA Certified Lighting Consultant,https://alalighting.com/accreditations-certifications,CLC,lighting consultant ,1,,1,2 ,1,0,0,0,,Advanced,B,0124,American Lighting Association,"PO Box 420288, Dallas, TX 75342-0288",800-274-4484,,,,,https://alalighting.com/,ALA,
0840,ALA Lighting Specialist,https://alalighting.com/accreditations-certifications,,lighting specialist ,1,,1,  ,,,,0,,Specialty,C,0124,American Lighting Association,"PO Box 420288, Dallas, TX 75342-0288",800-274-4484,,,,,https://alalighting.com/,ALA,
14429,ALM Octane Certified Professional,https://www.opentext.com/learning-services/learning-paths-alm-octane#/,,  ,,,1,  ,,,,,,Product/Equipment,D,1825,OpenText,,1-800-499-6544,,,,,https://www.opentext.com/,,"This exam verifies and validates that you can understand and use Application Lifecycle Management (ALM) Octane and also to manage quality information throughout the development cycle, from constructing requirements, designing and executing tests, through to monitoring defects."
14412,ALM/QC Certified Professional,https://www.opentext.com/learning-services/learning-paths-application-lifecycle-management#/,ALM/QC,  ,0,,1,  ,1,,,,,Product/Equipment,D,1825,OpenText,,1-800-499-6544,,,,,https://www.opentext.com/,,"This exam validates that you can understand and use Application Lifecycle Management including: installing ALM; creating test sets, logging and managing defects; creating and comparing baselines."
14781,AMSA Culinary Meat Selection & Cookery Certification,https://meatscience.org/events-education/meat-industry-certifications,,  ,0,,1,,0,0,0,0,,Core,A,1965,American Meat Science Association,"302 S. Platte Clay Way Kearney, MO 64060",,,,,,https://meatscience.org/home,AMSA,The American Meat Science Association (AMSA) Culinary Meat Selection & Cookery Certification verifies individuals possess knowledge and skills needed to thrive within the restaurant and culinary industries.
14782,AMSA Food Safety & Science Certification,https://meatscience.org/events-education/meat-industry-certifications,,  ,0,,1,,0,0,0,0,,Core,A,1965,American Meat Science Association,"302 S. Platte Clay Way Kearney, MO 64060",,,,,,https://meatscience.org/home,AMSA,The American Meat Science Association (AMSA) Food Safety & Science Certification verifies individuals possess an in-depth knowledge of food safety procedures and standards necessary to thrive in the food industry.
14780,AMSA Meat Evaluation Certification,https://meatscience.org/events-education/meat-industry-certifications,,  ,0,,1,,0,0,0,0,,Core,A,1965,American Meat Science Association,"302 S. Platte Clay Way Kearney, MO 64060",,,,,,https://meatscience.org/home,AMSA,"The American Meat Science Association (AMSA) Meat Evaluation Certification verifies individuals are better prepared to enter fields related to the meat animal industry, which includes production and processing."
4895,APICS Certified Supply Chain Professional,https://www.ascm.org/learning-development/certifications-credentials/cscp/,CSCP,Supply chain  ,,,1,5 ,0,0,1,0,Schedule your appointment by logging in to your &lt;a title=&quot;Logn&quot; href=&quot;https://www.apics.org/account/login&quot; target=&quot;_blank&quot;&gt;MY APICS&lt;/a&gt; account.,Advanced,B,0325,Association for Supply Chain Management,"8430 West Bryn Mawr Avenue, Suite 100  Chicago, IL  60631",1-800-444-2742,,1-773-867-1777,1-773-639-6000,support@ascm.org,https://www.ascm.org/,ASCM,"Now more than ever before, supply chain is essential for businesses to run, consumers to get the goods they need and society to function. APICS Certified Supply Chain Certification (CSCP) is the playbook you need to understand and deliver this critical process.

The comprehensive program covers everything you need to know across the global supply chain, from suppliers to customers and back again. Earning your CSCP designation shows that you have the skills to prepare for and overcome disruption, manage risk, and evaluate and implement modern supply chain technologies."
1432,APICS Certified in Planning and Inventory Management,https://www.ascm.org/learning-development/certifications-credentials/cpim/,CPIM,supply chain manager inventory manager ,1,,1,5 ,0,0,1,0,Schedule your appointment by logging in to your &lt;a title=&quot;Login&quot; href=&quot;https://www.apics.org/account/login&quot; target=&quot;_blank&quot;&gt;MY APICS&lt;/a&gt; account.,Advanced,B,0325,Association for Supply Chain Management,"8430 West Bryn Mawr Avenue, Suite 100  Chicago, IL  60631",1-800-444-2742,,1-773-867-1777,1-773-639-6000,support@ascm.org,https://www.ascm.org/,ASCM,"Resilience and agility are what make supply chains thrive. By earning the APICS Certified in Planning and Inventory Management (CPIM) designation, you'll develop competencies to successfully work across all functions of the supply chain. In addition, you'll have the knowledge to effectively manage risks and disruptions, as well as leverage technology to streamline processes."
14070,APICS Certified in Transformation for Supply Chain,https://www.ascm.org/learning-development/certifications-credentials/ctsc/,CTSC,  ,,,1,5 ,,,1,,CTSC exams are administered via computer-based testing at Pearson VUE test centers worldwide and online through the OnVUE system.,Core,A,0325,Association for Supply Chain Management,"8430 West Bryn Mawr Avenue, Suite 100  Chicago, IL  60631",1-800-444-2742,,1-773-867-1777,1-773-639-6000,support@ascm.org,https://www.ascm.org/,ASCM,"Supply chains have faced significant disruptions in recent years. Now more than ever before, supply chain professionals need to become transformational leaders with skills in systems thinking, digital fluency and analytical methods for all types of supply chains.

The new APICS Certified in Transformation for Supply Chain (CTSC) credential will equip you with frameworks, strategies, processes and tools to effectively manage an end-to-end supply chain transformation."
11542,APRN Gerontological Specialist - Certified,https://www.gapna.org/certification,GS-C,  ,1,,1,5 ,,,,,,Specialty,C,1656,Gerontological Advanced Practice Nursing Association,"Box 56 East Holly Avenue Pitman, NJ 08071-0056",866-355-1392,,,,,https://www.gapna.org/,GAPNA,"This specialty certification distinguishes APRNs who possess expert knowledge, experience, and skill in managing the complex health needs of older adults."
12925,ARFF Technician Level I,https://www.evtcc.org/exams,,"Heavy-Duty Truck, Diesel Engines Heavy-Duty Truck, Brakes Heavy-Duty Truck, Electrical Systems",0,,1,5 ,0,1,0,0,,Core,A,1714,"Emergency Vehicle Technician Certification Commission, Inc.","16 N Washington St Carpentersville, IL 60118",847-426-4075,,,847-426-4076,evtcert@evtcc.org,https://www.evtcc.org/,EVT,"The exams cover the design and performance standard and preventive maintenance, chassis and vehicle performance, and the extinguishment systems of ARFF vehicles. This certification tests for Design & Performance of ARFF Vehicles knowledge and Maintenance, Inspection, and Testing of Fire Apparatus."
